system_name,station_name
64 Piscium,Miller's Inheritance
66 Draconis,Forbes Port
68 Eridani,Voss Dock
68 Eridani,Gerst Orbital
69 e Herculis,Akers Station
69 G. Carinae,Adams' Progress
69 G. Carinae,Marshburn's Progress
7 Alpha Lacertae,Garratt Hub
7 Alpha Lacertae,Leclerc Hub
7 Alpha Lacertae,Virchow Orbital
7 Alpha Lacertae,Dampier Depot
7 Andromedae,Papin City
7 Andromedae,Hardy Landing
7 G. Aquilae,Meredith's Inheritance
7 Zeta-2 Lyrae,Baudin Plant
70 Ophiuchi,Cowper Exchange
70 Ophiuchi,Luk Station
70 Ophiuchi,Tevis Terminal
71 Omicron Geminorum,Binder Vision
71 Omicron Geminorum,Malaspina Platform
74 G. Aquarii,Litke Refinery
74 G. Aquarii,Van Scyoc Vision
76 Sigma Ceti,Garay Station
76 Sigma Ceti,Aksyonov Orbital
76 Sigma Ceti,McCandless Orbital
76 Sigma Ceti,Shaw Orbital
76 Sigma Ceti,Hennen Station
78 Ursae Majoris,Stapledon Enterprise
78 Ursae Majoris,Kwolek Survey
79 Ceti,Guidoni Station
79 Ceti,Thoreau Enterprise
8 Alpha-1 Libra,Hire Hub
8 Gamma Coronae Borealis,Neumann Terminal
8 Gamma Coronae Borealis,Love Enterprise
8 Gamma Coronae Borealis,Armstrong Ring
80 e Piscium,Deluc Orbital
80 e Piscium,Ehrlich Dock
82 Eridani,Bresnik Port
82 Eridani,Hackworth Settlement
83 Tau Piscium,Leiber Settlement
83 Tau Piscium,Miletus Beacon
83 Tau Piscium,Bolger Plant
83 Tau Piscium,Snodgrass' Progress
88 d Tauri,Hand Beacon
89 Leonis,Altman's Progress
9 Aurigae,Niven's Inheritance
9 Ceti,Fanning Vision
9 G. Carinae,Ansari Hangar
9 Puppis,Fuglesang Horizons
9 Ursae Minoris,Hartog Settlement
9 Ursae Minoris,Noli Point
93 Rho Piscium,Brash City
Abasina,Vasilyev Installation
Abast Samo,Boe Orbital
Abazates,Wood Base
Abazi,Ozanne Landing
Abazi,Messerschmid Enterprise
Abibitoa,Andree Plant
Abidji,Nehsi Landing
Abres,Antonio de Andrade Works
Abres,Tanaka Plant
Abriama,Napier Colony
Abriama,Davis City
Abriama,Andrews Depot
Abrog,Thagard Ring
Abrog,Fermi City
Abrog,Wolf Platform
Abrog,Velazquez Vision
Abrogo,Haller Installation
Aburaces,Dayuan's Folly
Aburu,Bykovsky Refinery
Aburu,Bethe Landing
Aburu,Dyomin Plant
Aburu,Benford Works
Abaana,Edwards Installation
AC +67 1894,Blodgett Colony
AC +67 1894,Glenn Point
Ac Yanto,Boucher Installation
Ac Yanto,Przhevalsky Freeport
Ac Yanto,Staden Beacon
Ac Yax Baru,Garan Port
Ac Yax Baru,Grabe Port
Ac Yax Baru,Hawking Terminal
Acamar,Bigourdan Vision
Acan,Phillifent Dock
Acan,King Dock
Acan,Marques Platform
Acandizel,Smith Prospect
Acandizel,Hammond Depot
Acants,Atiyah Base
Acants,Moore Base
Achansa,Lunan Terminal
Achansa,Patterson Installation
Achansa,Gunn Gateway
Achar,Born City
Achenar,Baker Terminal
Achenar,Peters City
Achenar,Wilson Vision
Achenar,Kagawa Station
Achini,Paul Station
Achini,Alcock Platform
Achini,Moorcock Works
Achlys,Wallace Platform
Achosi,Margulis Orbital
Achrende,Vogel Enterprise
Achrende,Glushko Holdings
Ackycha,Curie City
Acokwa,Dezhurov Hangar
Acokwech,Grandin City
Acokwech,Dobrovolski Port
Acurus,Matthews Base
Adad,Alvares Terminal
Adad,Asimov Dock
Adad,Banach Orbital
Adad,Cook Hub
Adad,Gwynn Station
Adad,McAuley City
Adad,Morrison Terminal
Adad,Napier Orbital
Adan,Ptack Dock
Addo,Ferguson Refinery
Addo,Elcano Port
Addovices,Nakaya Vision
Addovichs,Aoki Port
Adekalta,Longyear Terminal
Adenates,Newcomb Landing
Adensu,Bradley Plant
Adeo,Ramelli Dock
Adeo,Dobrovolski City
Adeo,Cormack Dock
Adeo,Foda Port
Adeo,Bohr Station
Adeo,Ivanishin Station
Adeo,Yang Orbital
Adeo,Pribylov Terminal
Adepti,Iqbal Dock
Adepti,Lee Enterprise
Adils,Marconi Port
Adils,Comino Installation
Aditjana,Escobar Platform
Aditjargl,Rocklynne's Progress
Aditjargl,Horch Works
Adityan,Ramanujan Hub
Adityan,Margulis Station
Adityan,Leavitt Hub
Adityan,Kooi Station
Adityan,Engle Hub
Adityan,Huygens Enterprise
Adityan,Fullerton Station
Adnoartina,Cleve Works
Adnyan,Drexler Platform
Adnyan,Blodgett Prospect
Adnyayar,Shiras Hub
Adnyayar,Mitchison Port
Adnyayar,Archer Horizons
Adria,Goddard Horizons
Adria,Drexler Relay
Adria,Drebbel Installation
Adria,Bertin Holdings
Adro,Cartier Refinery
Adro,Menezes Installation
Adro,Adams Enterprise
ADS 16553,Thornton Platform
ADS 16553,Reiter Plant
ADS 8444,Isherwood Holdings
Aduninuan,Stanier Hangar
Aduninuan,Nikolayev Prospect
AE Fornacis,Avogadro Hub
AE Fornacis,Deb Colony
Aebocorio,Ozanne Depot
Aegidal,Chadwick Plant
Aegilakan,Potter Hub
Aegilips,Bardeen Terminal
Aeolus,Nelder Dock
Aeolus,Yu Station
Aequeelg,Robinson Station
Aequeelg,Hopkins Plant
Afli,Pu City
Afli,Reinhold Orbital
Afli,Thomas Ring
Afli,Quetelet Dock
AG+11 1351,Cochrane Terminal
AG+21 1754,Oleskiw Hangar
AG+21 1754,Still Horizons
Agarahma,Hawke Terminal
Agarahma,Barbosa Plant
Agarla,Wilson Port
Agarla,Weizsacker Hub
Agarla,Anderson City
Agaso,Litke Landing
Agatavun,Grandin Plant
Agatavun,Tuan Station
Agatavun,Reamy Refinery
Agathiar,Haipeng Dock
Agathiar,Potrykus Orbital
Agathiar,Linnaeus Enterprise
Ageno,Pook Dock
Aguan,Davidson Colony
Aguan,Shunn Platform
Aguano,Cochrane Installation
Aguano,Dyr Beacon
Agwe,Cassidy Platform
Agwe,Hutton Dock
Agwe,Sadi Carnot City
Ahan,Vetulani Base
Ahaurawai,Mattingly Dock
Ahayus,Tilman Works
Ahemakino,Mattingly Port
Aholhyniai,Kaneda Dock
Aholhyniai,Roche Dock
Aholhyniai,Bessel Terminal
Ahti,Rushd Holdings
Ailuremowo,Turtledove Settlement
Ailurians,Reiter Vision
Ainun,George Settlement
Ainun,Herjulfsson's Pride
Ainunnicori,Tani Hub
Ainunnicori,Ansari Enterprise
Ainunnicori,Sinclair Port
Airman Di,Chargaff Orbital
Airman Di,Fourneyron Port
Airman Di,Metcalf Hub
Airman Di,Timofeyevich Settlement
Airs,Asaro Landing
Airs,Pelt City
Airs,Gulyaev Depot
Airsetanoa,Leavitt Hub
Airsetanoa,Halley Hub
Airsetanoa,Baturin Orbital
Aitvanec,Julian Gateway
Aitvanec,Shosuke Gateway
Aitvaniez,Schiaparelli Station
Aitvara,Manarov Platform
Aitvara,Macarthur Dock
Aitvaredd,Davis Settlement
Aka,Wilson Landing
Akba Atacab,Legendre Prospect
Akba Atacab,Jones City
Akba Atacab,Johnson Plant
Akba Atacab,Jun Base
Akba Ataci,Conrad Platform
Akbulun,Sevastyanov Beacon
Akeretia,Ozanne Estate
Akeretia,Alpers Orbital
Akheilos,Smith City
Akheilos,Titov Colony
Akheilos,Pawelczyk Orbital
Aknandan,Hurley Station
Aknandan,Aksyonov Terminal
Aknandan,Kondratyev Station
Aknandan,Parry's Inheritance
Aknango,Moorcock Settlement
Akondaluk,Kibalchich Refinery
Akondaluk,Stiles Platform
Akonito,Vlamingh Installation
Akonome,MacLeod's Folly
Aktzin,Feoktistov Station
Aktzin,Wallace Orbital
Aktzin,Knight Dock
Aktzin,Hirase Base
Aktzin,Hermite Vision
Akuni,Dzhanibekov Hub
Akuni,Vinci Orbital
Akuni,Conway Station
Akuntsu,Glazkov Depot
Alacagui,Husband Refinery
Alacagui,Nahavandi Platform
Alacarakmo,Farkas Depot
Alano,Leestma Port
Alano,Bondar City
Alano,Walker Enterprise
Alawongli,Bunsen Plant
Alawongli,Remek Port
Albango,Tan Orbital
Albarib,Aubakirov Hub
Albarib,Cheli Terminal
Albarib,Newcomen Port
Albarib,Hadfield Station
Albarib,Lorentz Orbital
Albarib,Edison Hub
Albarib,Robson Settlement
Albieteroo,Newman Plant
Albieteroo,Herzfeld Port
Alchita,Antonelli Vision
Alcor,Birmingham Dock
Alcor,Fast Landing
Alcor,Macdonald Settlement
Alectrona,Russ City
Alectrona,Marley City
Alectrona,Le Guin Port
Aleumoxii,Ferguson City
Aleutes,Cunningham Landing
Alfheim,Gernsback Orbital
Alfheim,Grant Terminal
Alfheim,Panshin Enterprise
Alhena,Bell Terminal
Alicha,Davidson Camp
Alicha,Cabral Beacon
Alichi,Lambert Freeport
Alignak,Morrison Vision
Alignak,Piserchia Port
Alignak,Hilbert Gateway
Alino,Haller Depot
Alit,Bullialdus Terminal
Alit,Inoda's Inheritance
Alkadjar,Hassanein Refinery
Alkadjar,Bugrov's Folly
Alkh,Jones Gateway
Alkh,Jemison Orbital
Alkh,Altman Laboratory
Alkupai,Kozeyev Depot
Alkuyuma,Brunton Point
Alkuyuma,Khan Point
Allechs,Mitchell Depot
Allechs,Stasheff Works
Allo,Clark's Progress
Allobo,Tavernier Landing
Allobo,Leckie Colony
Allobog,McHugh Station
Allocassa,Rucker Prospect
Allovaste,Hardy Enterprise
Allowini,Chiao Landing
Allowini,Libby Terminal
Allowini,Farkas Prospect
Almudja,Meikle Dock
Alowis,Song Refinery
Alpha Caeli,Shosuke Hub
Alpha Caeli,Eckford Port
Alpha Chamaelontis,Vernadsky Colony
Alpha Fornacis,Clement Station
Alpha Fornacis,Bennett Port
Alpha Fornacis,Helms Hub
Alpha Tucanae,Chretien Oudemans Settlement
Alpha Tucanae,Kotelnikov Refinery
Alpha Volantis,Reid Refinery
Alpheus,Bardeen Settlement
Alpheus,Walker Port
Al-Qaum,Duke Hub
Al-Qaum,Shepard Ring
Al-Qaum,Cormack Orbital
Alrai,Bounds Hub
ALS 16791,Malerba Terminal
Altair,Solo Orbiter
Altair,Grandin Gateway
Altair,Tereshkova Dock
Altais,Swanson Plant
Altais,Fairbairn Holdings
Altani,Bond Dock
Altani,Hartmann Ring
Altani,Rubin Port
Altani,Burroughs' Progress
Altani,Tanaka Refinery
Amahibuhcha,Foster Terminal
Amahu,Semeonis' Inheritance
Amahu,Bogdanov's Folly
Amahumasi,Key Plant
Amanii,Phillifent Settlement
Amanii,Dietz Colony
Amarak,Vela Port
Amarak,Werner von Siemens Vision
Amaram,Julian's Progress
Amaterasu,Sacco Refinery
Amaterasu,Ramsay Port
Amaucae,Dobzhansky Landing
Amaucae,Massimino Hub
Amauci,Quinn Vision
Ambare,Kopal Dock
Amber,Smith Landing
Amber,Felice Plant
Ambiabar,Mizuno Settlement
Ambians,Maine Camp
Ambians,Vaez de Torres Plant
Ambibeb,Caidin's Folly
Ambibio,Cseszneky Ring
Ambibio,Mastracchio Hub
Ambibio,Rushd Port
Ambibio,Samuda's Progress
Ambikul,Tepper Ring
Ambikul,Zindell Enterprise
Ambikul,Kingsmill Enterprise
Ambishas,Wheeler Point
Ambishas,Covey Beacon
Amen Hozho,Starzl Horizons
Amenniya,Mawson Terminal
Amenniya,Fremont Port
Amenniya,Nixon Port
Amente,Ansari Gateway
Amente,von Helmont Hub
Amente,Evans Station
Amis,Carlisle's Progress
Amit,Tevis Hangar
Ammapa,Covey Hub
Ammapa,Tyson Orbital
Ammapa,Hennen Port
Ammapa,Cseszneky Terminal
Ammapa,Virts Dock
Ammapa,Vinogradov Hub
Ammapa,Viktorenko Port
Ammapa,Pournelle Vision
Ammapa,Reed's Inheritance
Ammatis,Zillig Orbital
Ammatis,Navigator Dock
Ammatis,Monge Hub
Ammatis,Hippalus Terminal
Ammatis,Houtman Station
Ammatis,Murphy City
Ammatis,Irens Relay
Ammatis,Barr Landing
Amo,Boyajian Holdings
Amo,Kojima Refinery
Amphiloci,Blair Colony
Amphiloci,Reed Plant
Amphisatsu,Osterbrock Terminal
Amphisatsu,Goldberg Orbital
Amphisatsu,Watanabe Terminal
Amphisatsu,Karachkina Hub
Amphisatsu,Giacobini Plant
Amphisatsu,Amundsen Vision
Amphisatsu,Brashear Landing
Amun,Moresby Dock
Amun,Baker Terminal
Amun,West Hub
Amun,Judson Relay
Amun,Leckie Laboratory
Amuza,MacCurdy Beacon
Amuzgo,Samuda Settlement
Anaia,Rowley Beacon
Anali,Lee Horizons
Anali,May City
Anali,Freycinet Enterprise
Anana,Yamazaki Base
Anana,Hooke Landing
Ananda,Meaney Hub
Ananda,Fleming Depot
Anandilla,Volynov Landing
Anandilla,Grissom Point
Anandini,Hennepin Terminal
Anandini,Wallis Dock
Anandini,Riemann Enterprise
Ananke,Cavendish Station
Anantet,Buchli Plant
Anantet,Cleave Port
Anapi,Starzl Landing
Anapi,Alexandria Settlement
Anarina,McKie Works
Anartoi,Low Enterprise
Anatahen,Madsen Settlement
Anatahen,Pinzon Relay
Anayali,Maughmer City
Anca,Schoenherr Orbital
Anca,Joy Vision
Ancermoten,von Helmont Installation
Ancermoten,Davidson Base
Ande,Shapley Works
Ande,Qian's Progress
Andel,Sharp Dock
Andere,McDevitt Vision
Andere,Malzberg Vision
Andere,Maury Terminal
Andere,Kummer City
Andhi,Hale Station
Andhi,Meikle City
Andhrimi,Yurchikhin Station
Andhrimi,Fullerton Port
Andhrimi,Ansari Terminal
Andhrimi,Big Pappa's Base
Andijin,Chapman Hub
Andje,Laird Colony
Andlit,Hilmers Ring
Andlit,Copernicus Terminal
Andonnus,Mrkos Vision
Andonnus,Dittmar Ring
Andonnus,Bessel Orbital
Andowathaku,Stanier Settlement
Andowathaku,Ciferri Settlement
Andowathaku,Berliner Terminal
Andowatye,Bosch Station
Andowatye,Watson Hub
Andowatye,Cameron Ring
Andowatye,Born Terminal
Andowatye,Steinmuller Observatory
Andr,Giraud Colony
Andr,Finlay Terminal
Andra,Dantec Plant
Andracottii,Bessel's Inheritance
Andrungarri,Disch Port
Andrungarri,Reis Ring
Andrungarri,Maddox Dock
Anduliga,Celsius Estate
Andvaris,de Andrade Park
Andvaroges,Deb Port
Andvaroges,Flade Dock
Anedjet,Heck Installation
Anek Wango,Lloyd Wright Base
Anek Wango,Roed Odegaard Landing
Anekpenges,Sharman Port
Anekpenges,Vesalius Terminal
Anezgan,Arber Orbital
Anezgan,Apt City
Anezgan,Mendez Terminal
Anezgan,Carter Orbital
Anezgan,Hertz Hub
Anezgan,Popov Dock
Anezgan,Carr Works
Anezgan,Hoyle Settlement
Angaluk,H. G. Wells Port
Angaluk,Utley Outpost
Angi,Lerner Base
Anglii,Starzl Plant
Angrbonii,Gooch City
Angrbonii,Ewald Port
Angrbonii,Brash Refinery
Angrbonii,Kondakova Vision
Angui,Rayhan al-Biruni Port
Angui,Laird Hub
Anhuanga,Arzachel City
Anhuanga,Jones Platform
Anindari,Rangarajan Station
Aning,Banks Prospect
Aninohanu,Bardeen Hangar
Aninohanu,Avicenna Refinery
Anka,Howe Refinery
Anka,Malerba Landing
Ankou,Kirby Orbital
Anlave,Viete Landing
Anmatyerre,Bennett Beacon
Anna Perenna,Wisoff Holdings
Annar,Kirby Platform
Annarr,Rocklynne Settlement
Annarr,Bachman Landing
Anotche,Binnie Settlement
Anotche,Fourneyron Orbital
Anotribe,Grzimek's Progress
Anouke,Garrett Refinery
Ansari,Crown Installation
Ansari,Cormack Horizons
Ansuz,Marconi Hangar
Ansuz,Berners-Lee Platform
Ansuz,Gantt Colony
Antal,Charnas Dock
Antal,Wagner Gateway
Antal,Lobachevsky Station
Antevorta,Lebedev Ring
Antevorta,Rorschach Gateway
Antinica,Williamson Prospect
Anukam,Bell Settlement
Anukam,Stephenson Landing
Anukam,Siodmak Holdings
Anukas,Jolliet Beacon
Anum,Dubyago Port
Anum,Cartier Gateway
Anumalan,Goonan's Folly
Anuron,Cauchy's Inheritance
Any Kutjara,Hugh Hub
Any Kutjara,Williamson Gateway
Any Kutjara,Cantor Hub
Any Nal,Russo Beacon
Anyayar,Coulomb Base
Ao,Avicenna Hub
Ao,Parmitano Dock
Ao,Fleming City
Ao Ch'an,du Fresne Depot
Ao Guang,H. G. Wells Plant
Ao Jung Mu,Broderick Settlement
Ao Jung Mu,Barr Settlement
Ao Qin,Bohnhoff Orbital
Ao Qin,Smith Laboratory
Ao Run,Eratosthenes Platform
Ao Run,Pailes Landing
Ao Shun,Pawelczyk Terminal
Ao Shun,Rzeppa Gateway
Aobrigen Nu,Hussenot Landing
Aobrigen Nu,Fleming Platform
Aobrogii,Somerset Hub
Aobrogii,Seddon Terminal
Aobrogii,Thuot Hub
Aobrogii,Williams Hub
Aobrogii,Alvares' Progress
Aonga,Scott Terminal
Aonga,Arnold Station
Aonii,Arnold Prospect
Aonii,Giraud Holdings
Aoniu,Bohr Enterprise
Aornum,Agassiz City
Aornum,Kelly Terminal
Aornum,Ham Port
Aornum,Vaucanson Terminal
Aornum,Manakov Port
Aornum,Pausch Station
Aowindui,Menezes Landing
Apacnada,Vinge Platform
Apadecavi,Barnes Ring
Apadecavi,Fontenay City
Apadecavi,Nelder City
Apadecavi,Bixby Enterprise
Apadipinook,Deslandres Installation
Apadipinook,Peters Port
Apadipinook,Condit Holdings
Apala,Wilson City
Apala,Walker Port
Apala,Popper Port
Aparctias,Hancock Refinery
Aparctias,Almadrava
Apathaam,Reamy Dock
Apik,Sharman City
Apik,Porsche Port
Apik,Bose Dock
Apikuna,Giunta Lab
Apinayimas,Soddy Hangar
Apinyalivun,Hopkins Port
Apinyalivun,Parazynski Terminal
Apollo,Reisman Station
Apollo,Fulton Landing
Apollo,Gooch Base
Apollo,Payson Plant
Apoyas,Tomita Port
Apoyas,Vess Dock
Apoyas,Markov Vision
Apsarre,Altuna Settlement
Apsu,Dickinson Hangar
Apurnarsu,Hariot Dock
Apurnarsu,Kohoutek Installation
Apurnarsu,Johnson Prospect
Apurusia,Cowper's Inheritance
AR Lacertae,Buffett Port
AR Lacertae,Faris Orbital
AR Lacertae,Kregel Hub
Arabakti,Afanasyev Plant
Arabakti,Edison Dock
Arabarente,Macedo Refinery
Arabarente,Serling Terminal
Arabarente,Mechain Holdings
Arabh,Cleve Orbital
Arabh,Doctorow Orbital
Arabh,Hovgaard Hub
Arabh,Normand Dock
Arabha,Leibniz Relay
Arabha,Morgan Colony
Arabrini,Varley Relay
Arabrini,Wells Platform
Aracame,Ansari Horizons
Aracente,Bahcall Settlement
Arakang,Tall Beacon
Arakapajo,Libeskind Hub
Arakapajo,Crossfield City
Arakapajo,Tange Gateway
Arakapajo,Bailey Enterprise
Arakwibut,Bolotov Gateway
Arakwibut,Wilcutt Ring
Araman,Hereford Installation
Araman,Reeves Settlement
Aramorians,Avogadro Plant
Aramu,Malcolm Installation
Aramu,Terry Prospect
Aranbarahun,Drake Refinery
Aranka,Walker Port
Aranka,Townshend Gateway
Aranner,Fernao do Po Landing
Arara,Szilard Ring
Arara,Kuhn Dock
Arare,Noriega Port
Arasee,Shaver Settlement
Arasee,Windt Settlement
Arawas,May City
Arawas,Tennyson d'Eyncourt Refinery
Arawotyan,Overmyer Port
Arawotyan,Merbold Terminal
